item,Rating,about,best,image,package
Bangalore,4,"Having evolved gradually from being the Garden city to the Silicon Valley of India, Bangalore is India's third-largest city. Bangalore is loved for its pleasant weather, beautiful parks and the many lakes here. Bangalore is renowned for its eateries, street food corners, quirky cafes, coffee ro...",Throughout the year,https://th.bing.com/th/id/R.045c8929761bf08810c2fe1561a481ab?rik=yFa0mAULaLjtgQ&riu=http%3a%2f%2f3.bp.blogspot.com%2f-X3mxyoCF8IQ%2fUWfpNhhoOLI%2fAAAAAAAAYiU%2fpecWKZS3yJk%2fs1600%2fBangalore%2bPalace.jpg&ehk=9eU4XodgIiEnikBKveY%2fnLzL21NPeRawzyhXwoW4X08%3d&risl=&pid=ImgRaw&r=0,2870
Varkala,4.2,"Varkala is a coastal town in the southern part of Kerala known for the unique 15m high 'Northern Cliff' adjacent to the Arabian Sea. It is popular for its hippie culture, shacks on the cliff serving great seafood and playing global music and the samadhi of Kerala's saint Sree Narayana Guru...",Throughout the year,https://pix10.agoda.net/geo/city/17306/1_17306_02.jpg?s=1920x822,3878
Jodhpur,3.9,"Also known as the ""The Blue City"", ""Sun City"" and ""Gateway to Thar"", Jodhpur is famous for its Mehrangarh fort, blue houses, temples, sweets and snacks. Apart from the fort, there are multiple temples, lakes, shopping streets that are like a mirage from a bygone era.",November to February,https://www.hindustantimes.com/rf/image_size_960x540/HT/p2/2017/04/01/Pictures/_0a6f33ca-16ed-11e7-a5d6-c47fceabb9c0.jpg,2987
Shimla,4.2,"Shimla is the capital Himachal Pradesh in India and a popular hill-station among Indian families and honeymooners. Situated at the height of 2200m, Shimla was the summer capital of British India. Shimla still retains its old-world charm with beautiful colonial architecture, pedestrian-friendly ...",October to June,https://www.weekendthrill.com/wp-content/uploads/2016/12/Shimla-Tour-1.jpg,2987
Gangtok,4.4,"Incredibly alluring, pleasantly boisterous and wreathed in clouds - Gangtok, the capital of Sikkim, is one of the most popular hill stations in India. Lying at the height of 1650 m above sea level, the town during its bright sunny days offers spectacular views of Mt. Kanchenjunga. Gangtok is a base ...",Throughout the year,https://th.bing.com/th/id/OIP.vjd01yGIRs7jyhu4mUFiCwHaEK?pid=ImgDet&w=1920&h=1080&rs=1,2969
Srinagar,4.5,"Famously known as ‘Heaven on Earth’, Srinagar is located in the union territory of Jammu & Kashmir, on the banks of river Jhelum. As picturesque as the most stunning painting to ever be painted, Srinagar is known for the stationary houseboats and colourful Shikararas on Dal Lake.",April to October,https://www.unusualtraveler.com/wp-content/uploads/2019/12/IMGP1892-1.jpg,3879
Darjeeling,4.3,"Jaw-dropping locales, mesmerising sunrises, the untouched beauty of the hills, the old-world charm of the past, and the welcoming smiles of the local people all add up to make Darjeeling one of the most beautiful hill stations in Eastern part of India. Spread over a steep mountain ridge, nestle...","February to March, September to December",https://th.bing.com/th/id/OIP.R_PBqDdbdFxXTv1qsOYkKQHaE6?pid=ImgDet&rs=1,3797
Kolkata,4.1,"Kolkata, India's second biggest city, is a perpetually ongoing festival of human existence, concurrently luxurious and squalid, refined and frantic, pointedly futuristic, while beautifully in decay. A vibrant 350-year-old metropolis located on India's Eastern Coast, the capital of West Bengal thrive...",October to March,https://th.bing.com/th/id/OIP.Z62ST_L4DAV-MREbm1BQuwHaE3?pid=ImgDet&rs=1,3452
Amritsar,4.3,"Home of the glorious Golden Temple, the iconic city of Amritsar, portrays the heroic character of the Punjab. A day in this peaceful city starts with the spiritual prayers from Gurudwaras. The original name of first the ancient lake, then of the temple complex, and later the surrounding ci...",October to March,https://1.bp.blogspot.com/---xROPMz6rA/Wf0BKia0-EI/AAAAAAAAM_I/PK3Y27eS4u0Ttvndf7FfmQtTJqwZrI-ygCLcBGAs/s1600/SriHarmandirSahibLake.jpg,2323
Nainital,4.3,"The gem of Uttarakhand - Nainital is a charming hill station that sits prettily at the green foothills of the Kumaon ranges in the Himalayas. Located at an elevation of around 1938 metres, Nainital is located and developed around the beautiful Naini Lake, after which the town is named.&nbs...",Throughout the year,https://indiathrills.com/wp-content/uploads/2020/04/Naini-Lake-1024x685.jpeg,2398
Ooty,4.1,"Nestled amidst Nilgiri hills, Ooty, also known as Udagamandalam, is a hill station in Tamil Nadu which serves as a top-rated tourist destination. Once regarded as the summer headquarters of the East India Company, the Queen of the hills is a picturesque getaway.",Throughout the year,https://2.bp.blogspot.com/-giIau4cBX1c/UkmWdBmW5LI/AAAAAAAAEmM/Wz17aQbI_SQ/s1600/beautiful+ooty+(1).jpg,2039
Hyderabad,4,"A city of contrasts, Hyderabad exudes an old-world charm of its own with the Old City (Charminar side), Hitech City (Cyberabad) and the other areas lying between the old and the new. The capital and the largest city of Telanaga, Hyderabad is home to stately mosques and noisy bazaars lined ...",September to March,https://th.bing.com/th/id/OIP.y6ggnJ6f8YZxXBn1Ua95BwHaE8?pid=ImgDet&rs=1,3290
Mussoorie,3.8,"Mussoorie is one of the most popular hill stations located at a distance of 290 km from Delhi in Dehradun district of Uttarakhand. With a backdrop of Shivalik range of Himalayas and doon valley, Mussoorie, also known as Queen of The Hills, stands at an altitude of 7000 feet above sea level and has a...",September to June,https://img.onmanorama.com/content/dam/mm/en/travel/beyond-kerala/images/2020/6/29/uk-mussoorie.jpg,2930
Pondicherry,4,"Pondicherry, officially known as Puducherry, and commonly referred to as just Pondy, is one of the seven Union Territories of India which is bounded by the southern state of Tamil Nadu. This former French colony is a perfect amalgamation of the traditional Indian sensibilities an...",October to March,https://cloud.indiaimagine.com/wp-content/uploads/2019/01/Paradise-Beach-e1548673319493.jpg,1283
Khajuraho,4.2,"Khajuraho, a UNESCO World Heritage Site located in Madhya Pradesh, is known around the world for its stunning temples adorned by erotic and sensuous carvings. A small town located in the Bundelkhand region, Khajuraho is a brilliant example of Indian architecture and its culture back in the medi...",July to March,https://th.bing.com/th/id/OIP.ruYOvqpMjwSP1BSrHqwy2wHaEi?w=290&h=180&c=7&r=0&o=5&pid=1.7,2387
Chennai,3.5,"Formerly known as Madras, Chennai is the capital city of the state of Tamil Nadu, in the southern part of India. Located on the Coromandel coast of Bay of Bengal, Chennai is as dynamic as it is immersed in tradition. This 'capital of the south', is one among the four metropolitan siblings of In...",October to March,https://th.bing.com/th/id/R.37db9004b63e2d73d2f5581a6ae27db6?rik=y3CS5H3%2fZd%2ba2Q&riu=http%3a%2f%2fim.rediff.com%2fgetahead%2f2014%2foct%2f23travel-chennai.jpg&ehk=76BF0o6vohNq%2flGtHo6IbNBD9RE%2fuU8XdOPsAP2R9EU%3d&risl=&pid=ImgRaw&r=0,2837
Vaishno Devi,4.3,"Vaishno Devi is a temple town that's home to the famous Vaishno Devi Mandir. Popularly known as Mata Rani, Vaishnavi and Trikuta, Vaishno Devi is a manifestation of the Hindu Goddess Durga. Located in Trikuta hills, 13 kms from Katra (in the union territory of Jammu and Kashmir); this renowned shrin...",Throughout the year,https://th.bing.com/th/id/R.1a751b08ec646e32912e3afeb1beaf95?rik=yQgWBDzykcHEkQ&riu=http%3a%2f%2fimg.theweek.in%2fcontent%2fdam%2fweek%2fnews%2findia%2f2017%2fnovember%2fvaishno-devi.jpg.image.975.568.jpg&ehk=W7gXKmJkryCUTsYJNaPJzXZTDo0cgHH6MyrR68vXi3E%3d&risl=&pid=ImgRaw&r=0,2893
Dalhousie,4,"The tiny tinsel town of Dalhousie is a paradise tucked away in the lap of Himachal Pradesh. It boasts of old-world charm, mesmerising natural landscapes, pine-clad valleys, flower-bedecked meadows, fast-flowing rivers and magnificent misty mountains. This hill station was one of the favourite summer...",Throughout the year,https://th.bing.com/th/id/R.9fca45baf742292c0fd8c22942b382ef?rik=Sni9%2f0bpIwgLyQ&riu=http%3a%2f%2fmainedekhahai.com%2fwp-content%2fuploads%2f2020%2f12%2fDSCN8929-1-scaled.jpg&ehk=dZzyiQ%2fy%2butIbzMxWMBZI%2fWQsjfTWEHsl9HCmHE8aTI%3d&risl=&pid=ImgRaw&r=0,2398
Ajanta and Ellora Caves,4.3,"Ajanta and Ellora caves, considered to be one of the finest examples of ancient rock-cut caves, are located near Aurangabad in Maharashtra, India. Ajanta and Ellora caves complex is adorned with beautiful sculptures, paintings, and frescoes and include Buddhist monasteries, Hindu and Jain temples. T...",June to March,https://th.bing.com/th/id/OIP.F_iAlOfe7rmAXy78teCicgHaE7?pid=ImgDet&rs=1,3298
Haridwar,3.6,"Haridwar, considered to be among the seven holiest cities in India, is an ancient city located on the banks of River Ganga in the Garhwal region of Uttarakhand. Dotted with temples, ashrams and narrow lanes across the city, Haridwar is a famous Hindu temple town where millions of devotees come to ta...",Throughout the year,https://th.bing.com/th/id/R.2394b15e8507dba31867a2029b198f95?rik=kRQqrAWgT%2fNViA&riu=http%3a%2f%2fwww.indiapilgrimtours.com%2farticles%2fwp-content%2fuploads%2f2016%2f01%2fHaridwar.jpg&ehk=MD%2fBoZKhEE3M%2flFTtt%2fRSlk9n6zTZbTN2T6gzPB0RbQ%3d&risl=&pid=ImgRaw&r=0,3873
Kanyakumari,3.6,"Bordered by the three seas - Arabian, Indian and the Bay of Bengal, Kanyakumari is the southernmost tip of Indian Peninsula. A small coastal town in the state of Tamil Nadu, Kanyakumari was earlier known as Cape Comorin. The town is a mountainous terrain amid three seas, with ele...",October to February,https://letsbemerry.com/wp-content/uploads/2019/10/why-kanyakumari-india-is-worth-visiting-cover-1150x863.jpeg,2983
Mcleodganj,4.3,"Mcleodganj is a hill station near Dharamshala, popular among trekkers. Located in Kangra district, Mcleodganj's culture is a beautiful blend of Tibetan with some British influence.",October to June,https://www.trvme.com/img/destinations/4008785-McLeodganj-destination3.jpg,2362
Pune,3.3,"Pune is a bustling metropolis of Maharashtra, ranked number one in India in the ease of living. Often referred to as the Oxford of the East, it is a hub of diverse people and activities and is in rapidly growing into one of the top metropolitan cities in the country. Pune is a city that pe...",July to March,https://www.trawell.in/admin/images/upload/336491271Pune_Shaniwar_Wada.jpg,2986
Kodaikanal,4.4,"Located in the state of Tamil Nadu, Kodaikanal is one of the most famous honeymoon destinations in India. A Lakeside resort town of Tamil Nadu, Kodaikanal has a beautiful climate, mist-covered manicured cliffs and waterfall that come together to create the ideal setting for a perfect getaway. Kodaik...",September to May,https://lp-cms-production.imgix.net/2019-06/GettyImages-459760229_medium.jpg?fit=crop&q=40&sharp=10&vib=20&auto=format&ixlib=react-8.6.4,2762
Kochi,3.8,"Situated on the south-west coast of India, Kochi or Cochin is a bustling commercial port city with a trading history that dates back to at least 600 years. Called as the Queen of the Arabian Sea, the city is the financial, commercial and industrial capital of Kerala.",July to April,https://th.bing.com/th/id/OIP.Ibh5kHu23NQA2wDJJZF0uAHaE5?pid=ImgDet&rs=1,1234
Ahmedabad,3.3,"A rapidly growing metropolis, an industrial hub, an educational hotspot, and a city with a magnificent past – Ahmedabad is one of the most important cities in Gujarat. Located on the banks of the Sabarmati River, Ahmedabad is the former capital of Gujarat, and its delicious food, colourful culture i...",October to March,https://www.fabhotels.com/blog/wp-content/uploads/2018/11/1000x650-45.jpg,3523
Kanha National Park,3.5,"Located in a central region of Madhya Pradesh, Kanha National Park is the largest National Park in central India and has been ranked as one of the best parks in Asia. Among the 22 species of large mammals, the royal Bengal tigers are one of the major attractions. One of the best tiger reserves in In...",October to June,https://th.bing.com/th/id/R.7a5dd7dc93a8abd5ac9dde9b8f11e7bc?rik=MrcsmsNSkVT%2b5Q&riu=http%3a%2f%2feweekendbreaks.com%2fwp-content%2fuploads%2f2017%2f11%2fKanha-National-Park.jpg&ehk=dbjhRdtgtKHA38OceyQIyB53gabnCQN%2fJhsMwQm71eo%3d&risl=&pid=ImgRaw&r=0,1234
